feature,mean_rel_err_%,max_rel_err_%,n_near_zero,mean_abs_err_nz
w120_EVal2,7.81606543034352e-11,4.5325570703266844e-10,0,
w120_EVal3,1.234696677045683e-10,4.717661897497534e-10,0,
w220_EVal1,8.049790108172483e-07,1.8699037724774405e-06,0,
w220_EVal2,9.134044879462005e-07,2.9803608056453484e-06,0,
w220_EVal3,1.0405327567159767e-06,2.8615321256823405e-06,0,
w320_EVal1,9.49922415323797e-11,4.572020099290377e-10,0,
w320_EVal2,8.697604754940913e-11,4.737450238031057e-10,0,
w320_EVal3,1.2001238123407834e-10,4.461482669906963e-10,0,
w102_EVal1,1.2645685999373418e-10,4.34498128164819e-10,0,
w102_EVal2,9.245089317475592e-11,4.5678560892237517e-10,0,
w102_EVal3,5.7187841458250814e-11,3.18282425961712e-10,0,
w202_EVal1,1.2366377127769157e-06,3.153547754532251e-06,0,
w202_EVal2,1.3704724799564968e-06,5.2236246007839296e-06,0,
w202_EVal3,2.0781026548693126e-06,6.389295290186348e-06,0,
w103_000,1.1056527592673139e-10,1.2580305218608024e-09,0,
w103_001,1.044834503108475e-10,7.246812525013391e-10,1,2.643751878592501e-15
w103_002,1.1233532131806222e-10,4.71621202149356e-10,0,
w103_010,1.0448352962211128e-10,7.246812525013391e-10,1,1.3114842490403757e-15
w103_011,1.1560154221902082e-10,3.480846860740935e-09,0,
w103_012,9.100109818456334e-11,4.735532872613643e-10,0,
w103_020,1.123431228928461e-10,4.71621202149356e-10,0,
w103_021,9.100113122982711e-11,4.735532872613643e-10,0,
w103_022,1.093249792804898e-10,4.802312393901703e-10,0,
w103_100,1.0450678335811022e-10,7.60333983268758e-10,1,8.673950391922506e-16
w103_101,1.155830357825378e-10,3.480846860740935e-09,0,
w103_102,9.100134190891949e-11,4.735532872613643e-10,0,
w103_110,1.155435640588238e-10,3.409558572970598e-09,0,
w103_111,1.0446193253052244e-10,4.795356818014491e-10,0,
w103_112,8.485180679926831e-11,4.886272117297736e-10,1,3.119255982315019e-14
w103_120,9.100482701963847e-11,4.735532872613643e-10,0,
w103_121,8.485427421929819e-11,4.886272117297736e-10,1,3.096944819012515e-14
w103_122,8.632605227193712e-11,4.6023199339153403e-10,0,
w103_200,1.123397330715551e-10,4.71621202149356e-10,0,
w103_201,9.100564062239733e-11,4.735532872613643e-10,0,
w103_202,1.0932799911859362e-10,4.802312393901703e-10,0,
w103_210,9.100426707433105e-11,4.735532872613643e-10,0,
w103_211,8.485260295792764e-11,4.886272117297736e-10,1,3.139939124947522e-14
w103_212,8.63297372142034e-11,4.6023199339153403e-10,0,
w103_220,1.0932549725675865e-10,4.802312393901703e-10,0,
w103_221,8.633482566582973e-11,4.6023199339153403e-10,0,
w103_222,1.0275359742724576e-10,4.947142140643684e-10,0,
w104_EVal0,5.3145035505222e-11,4.4085192948404594e-10,0,
w104_EVal1,5.6078710904265173e-11,4.717382763380642e-10,0,
w104_EVal2,1.2338396891850394e-10,4.907785118292055e-10,0,
w104_EVal3,1.5143303272389355e-10,4.953397586696804e-10,0,
w104_EVal4,1.3477685430994044e-10,4.339505766439719e-10,0,
w104_EVal5,7.109819954498324e-11,3.789733015882954e-10,0,
msm_ql_0,5.34084561088617e-15,4.440892098500626e-14,0,
msm_ql_1,,,1584,9.549431645914425e-16
msm_ql_2,1.1396469057399216e-10,3.7407368233750305e-10,0,
msm_ql_3,6.842561876579138e-11,4.938659574521284e-10,0,
msm_ql_4,1.2754513742403601e-10,3.969571651662747e-10,0,
msm_ql_5,5.091666197422929e-11,4.781209863414506e-10,0,
msm_ql_6,1.556785486629778e-10,4.825680637333719e-10,0,
msm_ql_7,5.715803720979466e-11,2.3508759391687084e-10,0,
msm_ql_8,4.742023287629885e-11,1.0130275084624092e-10,0,
msm_wl_0,5.242018940133552e-14,7.771561172376096e-14,0,
msm_wl_1,,,1584,1.2265700160306327e-22
msm_wl_2,1.3323812329320304e-10,2.8646867859671665e-09,0,
msm_wl_3,,,1584,9.635301164918904e-08
msm_wl_4,1.3598269681160008e-10,4.82510654200066e-10,0,
msm_wl_5,,,1584,6.389087339791595e-08
msm_wl_6,7.814613477517903e-11,2.687479287267255e-09,0,
msm_wl_7,,,1584,8.424352717391977e-08
msm_wl_8,1.2756487280581443e-10,2.884191896605291e-10,0,
