feature,max_abs_diff,mean_abs_diff,max_val
w202_02,6.858891419270208e-07,7.056839215589432e-08,4.386384232098058
w202_11,1.8495981848332121e-06,6.438249160355391e-07,56.68946045388145
w202_12,1.1574791733970358e-06,2.0029331627799337e-07,7.315046697006819
w202_22,1.5238543653595116e-06,4.248937979256742e-07,70.85618097899166
w020_EVal1,4.952453309670091e-07,3.36150339169055e-08,462552.118856
w020_EVal2,4.991888999938965e-07,1.700467286621396e-07,902771.979039
w020_EVal3,4.997244104743004e-06,5.552395610132895e-07,3690601.185151499
w120_EVal1,5.2339601097628474e-08,1.713428486860179e-08,83328.7838801
w120_EVal2,4.891771823167801e-07,3.415281952644051e-08,240087.494024
w120_EVal3,4.992762114852667e-07,1.9817646560370876e-07,737036.6850233362
w220_EVal1,0.0001538890883239219,2.216619722934588e-05,9037.556815109088
w220_EVal2,0.0005103450821479782,8.258317503043542e-05,38874.80294564508
w220_EVal3,0.0017389957210980356,0.00028127329755989194,107829.75161114192
w320_EVal1,4.994944902136922e-09,2.725841004933762e-10,9994.21567127
w320_EVal2,4.9838035920402035e-09,8.750184723819423e-10,3754.0107617424783
w320_EVal3,4.3695763451978564e-08,2.491390241136351e-09,10458.3934153
w102_EVal1,5.186393536860123e-10,2.5366422767006316e-10,478.608117089
w102_EVal2,5.315996531862766e-10,2.4934914739043796e-10,666.5584072040028
w102_EVal3,3.334207576699555e-09,2.497389680016944e-10,1047.56257485
w202_EVal1,1.1646495678974134e-06,3.4221495078217865e-07,50.66292473337507
w202_EVal2,2.128995781447429e-06,4.6599679334146876e-07,64.83207270527805
w202_EVal3,2.689734841965219e-06,8.025879091782142e-07,79.1976556694372
w103_000,5.2530424454744207e-11,1.632255538730616e-11,57.536616161616195
w103_001,4.949640697304858e-11,9.72947740943641e-12,53.23611111111111
w103_002,4.949995968672738e-11,1.2200745166553412e-11,35.0
w103_010,4.949640697304858e-11,9.729469866017659e-12,53.23611111111111
w103_011,4.950706511408498e-11,1.2960194556064853e-11,39.14141414141413
w103_012,4.949818332988798e-11,6.997012103589063e-12,25.4696969697
w103_020,4.949995968672738e-11,1.220075837574988e-11,35.0
w103_021,4.949818332988798e-11,6.997028254915972e-12,25.4696969697
w103_022,4.949640697304858e-11,1.0937349147332964e-11,38.7196969697
w103_100,4.949640697304858e-11,9.729447646444045e-12,53.2361111111111
w103_101,4.950706511408498e-11,1.2960181999579996e-11,39.14141414141413
w103_102,4.949818332988798e-11,6.997013737558398e-12,25.4696969697
w103_110,4.950706511408498e-11,1.2960227240653526e-11,39.14141414141413
w103_111,5.051958851254312e-11,1.064814320843791e-11,55.119949495
w103_112,4.949818332988798e-11,4.186507616892113e-12,19.944444444444443
w103_120,4.949818332988798e-11,6.997013143985087e-12,25.4696969697
w103_121,4.949818332988798e-11,4.186509681130804e-12,19.944444444444443
w103_122,4.949818332988798e-11,4.077279414635636e-12,21.319444444444443
w103_200,4.949995968672738e-11,1.2200723970948515e-11,35.0
w103_201,4.949818332988798e-11,6.997013389299518e-12,25.4696969697
w103_202,4.949640697304858e-11,1.0937366231730834e-11,38.7196969697
w103_210,4.949818332988798e-11,6.997020980905033e-12,25.4696969697
w103_211,4.949818332988798e-11,4.1864999718761706e-12,19.944444444444443
w103_212,4.949818332988798e-11,4.077293471481076e-12,21.319444444444443
w103_220,4.949640697304858e-11,1.0937364742321789e-11,38.7196969697
w103_221,4.949818332988798e-11,4.077292387278904e-12,21.319444444444443
w103_222,4.950173604356678e-11,8.359106499590512e-12,35.5416666667
w104_EVal0,4.697113809015718e-10,2.8681996172059083e-11,131.021136436
w104_EVal1,4.966125288774492e-10,4.76911596633853e-11,159.242541685
w104_EVal2,5.016715931560611e-10,1.4580821847328416e-10,258.6079589990711
w104_EVal3,5.032916305935942e-10,2.294980210360458e-10,334.2427033381378
w104_EVal4,5.034053174313158e-10,2.4988825823394717e-10,451.70842299831503
w104_EVal5,5.094307198305614e-10,2.5350693486053397e-10,834.419320935
msm_ql_0,4.440892098500626e-16,5.34084561088617e-17,1.0000000000000002
msm_ql_1,6.732767059739066e-15,9.549431645914425e-16,6.7779811235599994e-15
msm_ql_2,5.06816810741384e-13,2.5216069236875116e-13,0.4167818817984572
msm_ql_3,4.991007607202391e-13,6.452670188296218e-14,0.163498939083
msm_ql_4,5.014044734963363e-13,2.547710919896795e-13,0.386813599181
msm_ql_5,4.898997874036581e-13,3.5367912390168984e-14,0.140235381161
msm_ql_6,5.0531800965814e-13,2.5166486809766044e-13,0.3348038571862948
msm_ql_7,5.090372567906343e-14,2.5348648983018514e-14,0.0877312282313349
msm_ql_8,5.142553050063725e-13,2.5092515747606085e-13,0.616847788171
msm_wl_0,7.771561172376096e-16,5.242018940133552e-16,1.0
msm_wl_1,5.505636772440001e-22,1.2265700160306327e-22,5.505636772440001e-22
msm_wl_2,5.002109837448643e-13,1.7360074341859202e-13,0.2570394843
msm_wl_3,3.26972509927e-07,9.635301164918904e-08,3.26972509927e-07
msm_wl_4,4.992117830227016e-13,1.5482727027006943e-13,0.200811858694
msm_wl_5,1.48856404881e-07,6.389087339791595e-08,1.48856404881e-07
msm_wl_6,4.919120666357912e-13,2.9768335620240516e-14,0.1378851711832212
msm_wl_7,2.12274214743e-07,8.424352717391977e-08,2.12274214743e-07
msm_wl_8,5.077049891610841e-13,2.509454134390733e-13,0.235542692468
